# Kendi eklediginiz kelimeler buraya. Format: latin<TAB>osmanlica<TAB>koken(ar/fa/tr)
# örnek satir: (basindaki # isaretini kaldirip kullanin)
# yeni_kelime	يڭی كلمه	tr
beşûş	بشوش	ar
beşûşâne	بشوشانه	ar-fa
bi'r	بئر	ar
bi'set	بئثت	ar
bid'at	بدعت	ar
bidâyet	بدایت	ar
bihakkın	بحق	ar
bihamdillah	بحمداالله	ar
bihbûd	بهبود	fa
bihişt	بهشت	fa
bihter	بهتر	fa
bihâr	بحار	ar
bihâzelemr	بهذا الامر	ar
bikr	بکر	ar
bilakis	بالعکس	ar
bilcümle	بالجمله	ar
bilfarz	بالفرض	ar
bilfiil	بالفعل	ar
bilhassa	بالخاصه	ar
biliktizâ	بالاقتضا	ar
bililtizâm	بالالتزام	ar
bilistifade	بالاستفاده	ar
bilistihsâl	بالاستحصال	ar
biliştirâk	بالاشتراک	ar
billûr	بلور	ar
bilmecbûriye	بالمجبئریه	ar
bilmukabele	بالمقابله	ar
bilmünâsebe	بالمناسبه	ar
bilmünâvebe	بالمناوبه	ar
bilmüzakere	بالمذاکره	ar
bilumum	بالعموم	ar
bilvâsıta	بالواسطه	ar
bilâd	بلاد	ar
bilâfâsıla	بلافاصله	ar
bilâhareket	بلاحرکت	ar
bilâhere	بالآخره	ar
bilâinkıtâ	بلاانقطاع	ar
bilâkayt	بلاقيد	ar
bilâmazeret	بلامعذرت	ar
bilâmerhamet	بلامرحمت	ar
bilâmâni'a	بلامانعه	ar
bilâmühlet	بلامهلت	ar
bilâpervâ	بلاپروا	ar-fa
bilâte'ehhür	بلاتأخر	ar
bilâtefrik	بلاتفریق	ar
bilâtehlike	بلاتهلکه	ar
bilâteminat	بلاتأمينات	ar
bilâücret	بلاأجرت	ar
bilâşikâyet	بلاشکایت	ar
bin	بن	ar
binnetice	بالنتيجه	ar
binnisbe	بالنسبه	ar
bint	بنت	ar
binâ	بناء	ar
binâberin	بنابرین	ar-fa
binâen	بناء	ar
binâenaleyh	بناء عليه	ar
birinc	برنج	fa
birişte	برشته	fa
biryân	بریان	fa
birâder	برادر	fa
bister	بستر	fa
bisyâr	بسيار	fa
bisât	بساط	ar
bitamâmihâ	بتمامها	ar
bittab'	بالطبع	ar
bittafsîl	بالتفصيل	ar
bittamâm	بالتمام	ar
bizzarûre	بالضروره	ar
bizâtihi	بذاته	ar
bostân	بوستان	fa
bu'd	بعد	ar
bu'diyet	بعدیت	ar
buhalâ	بخلا	ar
buhl	بخل	ar
buhrân	بحران	ar
buht	بهت	ar
buhurdan	بخوردان	fa
buhâr	بخار	ar
buhûr	بخور	fa
buk'a	بقعه	ar
buk'avî	بقعوی	ar
burc	برج	ar
burhan	برهان	ar
burûc	بروج	ar
burûdet	برودت	ar
butlân	بطلان	ar
butûn	بطون	ar
buğrâ	بغرا	fa
bâ	با	fa
bâb	باب	ar
bâbâ	بابا	fa
bâbâyâne	بابایانه	fa
bâbûne	بابونه	fa
bâc	باج	fa
